Sistema 1	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	1,40E-02	7,29E+00	1,51E-08	3,02E+01	3,23E-03	3,65E-07	9,26E-04	3,93E+01
	Cal (kg)	2,75E-02	9,59E+00	1,26E-07	6,46E+01	7,95E-03	4,67E-07	1,01E-03	7,56E+01
	Areia (kg)	2,35E-03	3,16E-01	1,62E-09	4,34E+00	5,52E-04	5,37E-08	5,41E-05	4,82E+00
	Água (kg)	1,15E-04	1,61E-02	7,20E-09	1,69E-01	3,20E-05	1,38E-09	6,99E-06	3,04E-01
Argamassa de assentamento	Cimento (kg)	2,28E-03	1,19E+00	2,46E-09	4,92E+00	5,26E-04	5,93E-08	1,51E-04	6,39E+00
	Cal (kg)	4,48E-03	1,56E+00	2,06E-08	1,05E+01	1,29E-03	7,60E-08	1,64E-04	1,23E+01
	Areia (kg)	3,83E-04	5,14E-02	2,63E-10	7,07E-01	8,99E-05	8,74E-09	8,81E-06	7,85E-01
	Água (kg)	1,88E-05	2,62E-03	1,17E-09	2,75E-02	5,21E-06	2,24E-10	1,14E-06	4,94E-02
Alvenaria	Bloco de concreto (kg)	2,82E-02	7,48E+00	9,03E-08	5,03E+01	6,74E-03	5,93E-07	1,26E-03	6,67E+01
Aço	Aço (kg)	1,77E-03	4,69E-01	1,02E-08	4,85E+00	8,91E-04	2,63E-08	3,06E-04	5,88E+00
	Galvanização (m²)	6,86E-03	1,22E-01	1,44E-07	1,55E+00	1,74E-03	1,38E-08	2,87E-05	2,19E+00
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
TOTAL		1,05E-01	3,10E+01	1,72E-06	2,05E+02	2,88E-02	1,88E-06	5,59E-03	2,59E+02
Sistema 2	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	7,01E-03	3,65E+00	7,56E-09	1,51E+01	1,61E-03	1,82E-07	4,63E-04	1,96E+01
	Cal (kg)	1,37E-02	4,79E+00	6,31E-08	3,23E+01	3,97E-03	2,33E-07	5,02E-04	3,78E+01
	Areia (kg)	1,17E-03	1,58E-01	8,08E-10	2,17E+00	2,76E-04	2,68E-08	2,70E-05	2,41E+00
	Água (kg)	5,74E-05	8,02E-03	3,59E-09	8,44E-02	1,60E-05	6,86E-10	3,48E-06	1,51E-01
Argamassa de assentamento	Cimento (kg)	2,28E-03	1,19E+00	2,46E-09	4,92E+00	5,26E-04	5,93E-08	1,51E-04	6,39E+00
	Cal (kg)	4,48E-03	1,56E+00	2,06E-08	1,05E+01	1,29E-03	7,60E-08	1,64E-04	1,23E+01
	Areia (kg)	3,83E-04	5,14E-02	2,63E-10	7,07E-01	8,99E-05	8,74E-09	8,81E-06	7,85E-01
	Água (kg)	1,88E-05	2,62E-03	1,17E-09	2,75E-02	5,21E-06	2,24E-10	1,14E-06	4,94E-02
Alvenaria	Bloco de concreto (kg)	2,82E-02	7,48E+00	9,03E-08	5,03E+01	6,74E-03	5,93E-07	1,26E-03	6,67E+01
Aço	Aço (kg)	1,77E-03	4,69E-01	1,02E-08	4,85E+00	8,91E-04	2,63E-08	3,06E-04	5,88E+00
	Galvanização (m²)	6,86E-03	1,22E-01	1,44E-07	1,55E+00	1,74E-03	1,38E-08	2,87E-05	2,19E+00
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Placa de Gesso 	Gesso (kg)	6,56E-04	1,42E-01	1,56E-09	1,79E+00	1,33E-04	1,21E-08	3,12E-05	2,24E+00
	Placa de Gesso (kg)	1,65E-02	2,42E+00	7,20E-08	2,63E+01	3,92E-03	1,30E-07	7,51E-04	3,99E+01
	Água (kg)	6,63E-06	9,25E-04	4,14E-10	9,73E-03	1,84E-06	7,92E-11	4,02E-07	1,75E-02
TOTAL		9,99E-02	2,49E+01	1,72E-06	1,83E+02	2,70E-02	1,58E-06	5,37E-03	2,42E+02
Sistema 3	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	7,01E-03	3,65E+00	7,56E-09	1,51E+01	1,61E-03	1,82E-07	4,63E-04	1,96E+01
	Cal (kg)	1,37E-02	4,79E+00	6,31E-08	3,23E+01	3,97E-03	2,33E-07	5,02E-04	3,78E+01
	Areia (kg)	1,17E-03	1,58E-01	8,08E-10	2,17E+00	2,76E-04	2,68E-08	2,70E-05	2,41E+00
	Água (kg)	5,92E-05	8,26E-03	3,70E-09	8,69E-02	1,64E-05	7,07E-10	3,59E-06	1,56E-01
Argamassa de assentamento	Cimento (kg)	2,28E-03	1,19E+00	2,46E-09	4,92E+00	5,26E-04	5,93E-08	1,51E-04	6,39E+00
	Cal (kg)	4,48E-03	1,56E+00	2,06E-08	1,05E+01	1,29E-03	7,60E-08	1,64E-04	1,23E+01
	Areia (kg)	3,83E-04	5,14E-02	2,63E-10	7,07E-01	8,99E-05	8,74E-09	8,81E-06	7,85E-01
	Água (kg)	1,88E-05	2,62E-03	1,17E-09	2,75E-02	5,21E-06	2,24E-10	1,14E-06	4,94E-02
Alvenaria	Bloco de concreto (kg)	2,82E-02	7,48E+00	9,03E-08	5,03E+01	6,74E-03	5,93E-07	1,26E-03	6,67E+01
